Variable:,pr
,"Tanzania, United Republic of",Arusha,Dar-es-salaam,Dodoma,Kigoma,Kilimanjaro,Lindi,Manyara,Mara,Mbeya,Morogoro,Mtwara,"Kaskazini Pemba","Kaskazini Unguja",Pwani,Ruvuma,Singida,"Kusini Pemba","Kusini Unguja",Tabora,Tanga,"Mjini Magharibi",Geita,Iringa,Kagera,Katavi,Mwanza,Njombe,Rukwa,Shinyanga,Simiyu
1986,1131.26,744.48,1356.69,733.82,1191.10,1078.59,1676.46,877.26,1073.12,980.82,1321.65,1396.02,1290.60,1317.67,1450.07,1453.77,751.95,1290.60,1394.27,1101.41,1055.86,1386.30,1130.42,895.57,1273.95,1162.17,1136.03,1243.64,1069.46,1058.99,834.19
1987,888.08,583.48,795.76,622.67,1042.16,805.89,1192.37,667.50,1055.34,684.12,1108.28,952.08,1037.40,978.54,890.33,1063.75,588.42,1037.40,924.86,816.06,899.00,908.00,1023.67,735.23,1186.74,908.88,1015.43,871.19,863.16,874.61,722.74
1988,1033.39,684.55,1010.37,685.95,1194.17,895.81,1349.46,705.79,1256.74,881.06,1219.44,1034.48,1174.70,1115.60,1165.81,1121.66,746.57,1174.70,1082.99,1061.50,966.18,1063.90,1143.67,856.76,1310.94,1134.61,1263.89,1018.01,934.56,1071.67,889.30
1989,1168.29,792.22,1166.90,822.80,1190.17,947.16,1931.94,869.08,1186.42,967.53,1546.52,1536.18,1160.30,1190.52,1428.87,1519.05,845.11,1160.30,1234.11,989.47,1031.95,1219.90,1059.45,1014.90,1129.71,1149.72,1107.04,1169.94,1136.80,956.31,862.35
1990,997.76,839.11,1152.92,631.34,1165.02,1221.82,1445.16,902.38,1109.61,667.13,1230.22,1072.88,1189.50,1223.33,1359.67,975.92,654.68,1189.50,1278.76,962.62,1058.45,1267.40,1126.89,767.06,1193.50,1031.07,1127.85,790.12,831.61,1001.95,803.51
1991,1067.77,721.62,985.44,680.91,1126.14,1050.04,1818.26,782.18,1131.64,793.85,1412.13,1559.72,1030.40,1029.05,1205.86,1517.33,648.10,1030.40,1058.41,843.57,929.03,1045.90,1026.93,841.59,1265.40,1002.28,1104.88,1056.48,977.13,861.92,767.46
1992,962.56,745.36,1164.57,567.33,1125.64,952.52,1544.39,748.72,907.01,759.55,1123.01,1213.51,1175.20,1255.99,1296.54,989.05,662.52,1175.20,1278.68,997.82,1004.28,1262.30,921.26,704.65,1034.30,1100.08,878.59,849.24,912.64,902.12,707.93
1993,872.72,538.34,1034.02,499.15,922.22,693.90,1543.33,522.44,960.28,722.29,1143.39,1226.10,924.00,1026.44,1242.46,1162.88,503.72,924.00,1066.94,644.94,753.97,1056.40,827.75,687.00,1138.39,819.79,902.49,913.67,838.33,675.54,619.34
1994,1010.15,646.67,1377.52,587.00,1138.66,893.30,1397.31,664.88,1187.58,806.25,1169.76,1082.22,1551.90,1574.20,1462.69,1185.24,659.34,1551.90,1621.55,930.02,1091.73,1609.80,1103.85,757.72,1416.13,1061.92,1212.03,990.27,927.97,963.81,825.13
1995,947.89,622.54,1188.02,596.92,1040.78,738.01,1391.33,609.21,1108.30,734.60,1298.51,1020.21,1182.20,1218.65,1412.80,1116.85,594.84,1182.20,1260.43,814.03,938.64,1248.20,1018.28,780.46,1256.48,908.28,1098.00,896.91,819.36,850.42,715.40
1996,957.21,538.56,999.03,633.22,1015.38,633.55,1350.59,610.73,1037.88,871.09,1222.68,990.25,1041.50,1024.06,1225.71,1218.55,695.26,1041.50,1041.28,883.24,804.99,1029.70,932.53,840.34,1244.17,992.22,1030.39,1092.83,962.11,802.74,680.14
1997,1151.40,757.75,1291.55,727.91,1266.78,1070.01,1651.05,810.68,1326.36,877.35,1470.77,1220.70,1489.70,1366.32,1508.84,1245.47,800.66,1489.70,1393.44,1106.33,1258.01,1378.60,1269.34,963.70,1450.14,1107.27,1404.16,1104.26,1008.57,1121.21,927.70
1998,1020.14,805.73,1078.30,708.05,1166.24,1126.14,1507.27,842.70,1077.66,782.40,1321.75,1148.53,1209.90,1138.21,1265.93,1093.96,636.74,1209.90,1181.17,848.48,1044.79,1170.00,1098.17,805.48,1338.88,1032.79,1122.18,918.15,993.27,899.62,768.98
1999,996.32,577.87,1118.06,583.58,1111.66,783.38,1537.14,651.62,1111.59,782.32,1303.78,1222.41,1179.00,1149.86,1327.63,1319.75,594.52,1179.00,1185.84,860.20,983.56,1169.70,982.54,790.54,1200.82,1006.29,1153.90,1047.54,925.45,872.12,738.10
2000,922.40,469.33,909.77,585.85,999.36,677.96,1386.64,574.47,877.90,795.36,1219.27,1109.54,1031.00,930.85,1093.50,1191.88,640.68,1031.00,955.14,879.31,816.88,943.30,911.39,797.78,1118.51,971.49,964.06,1004.86,954.03,809.94,643.25
2001,943.35,658.67,836.78,603.98,1172.33,792.53,1298.20,662.49,1090.94,770.64,1069.66,1063.82,903.20,878.32,1002.74,1165.76,645.78,903.20,901.55,886.57,760.43,890.60,1068.56,721.92,1283.41,1042.05,1090.39,960.06,949.50,875.79,754.19
2002,1147.94,863.63,1243.07,723.74,1246.74,1134.12,1761.83,859.40,1295.39,825.76,1397.02,1492.15,1371.30,1360.91,1446.76,1401.08,744.73,1371.30,1375.70,1049.15,1231.31,1359.00,1245.96,867.99,1381.01,1076.73,1314.16,1075.84,917.66,1120.50,982.26
2003,792.04,469.91,593.62,425.65,1139.79,595.66,961.77,465.24,850.77,737.70,930.85,694.06,741.50,667.87,765.75,1018.86,492.69,741.50,662.54,754.67,609.60,656.50,950.35,638.95,1123.59,974.20,896.70,895.43,949.70,752.96,576.73
2004,1033.60,566.50,1035.92,667.85,1070.09,679.05,1764.75,658.08,888.76,909.52,1422.45,1517.09,940.40,961.51,1305.61,1377.43,662.14,940.40,1032.35,891.33,831.43,1021.60,1018.51,920.97,1014.01,1037.34,987.30,1158.69,1067.28,877.89,694.35
2005,797.70,383.90,816.26,423.95,1021.00,544.30,1226.93,433.81,858.33,663.78,991.86,955.56,875.40,831.00,962.31,1134.62,446.97,875.40,867.53,682.26,670.74,851.50,867.50,641.81,1042.28,908.58,904.22,859.91,847.18,669.17,524.63
2006,1198.55,929.77,1433.82,759.05,1285.62,1334.71,1721.52,950.15,1315.78,915.80,1456.27,1421.51,1528.10,1542.07,1562.94,1433.05,763.65,1528.10,1568.77,1088.85,1364.70,1551.20,1273.05,891.55,1426.11,1151.75,1349.46,1192.80,1061.61,1129.37,989.87
2007,952.72,562.44,899.60,586.11,1174.95,751.44,1173.25,600.09,1131.57,832.65,1062.62,892.54,1000.80,960.17,1008.00,1126.65,684.21,1000.80,980.45,967.74,826.05,965.40,1125.65,754.98,1458.79,1078.02,1195.89,994.02,963.80,948.66,750.97
2008,953.72,667.40,843.72,626.79,1137.27,804.30,1364.43,697.20,968.03,850.78,1142.14,1133.32,878.20,872.35,1042.45,1177.92,653.76,878.20,891.47,901.58,793.56,885.30,956.66,788.57,1086.04,1066.74,946.01,1030.84,998.20,844.77,717.38
2009,950.40,624.37,659.77,625.03,1143.06,745.89,1124.98,644.74,1080.52,888.50,1012.09,908.88,776.80,734.59,824.40,1148.87,736.89,776.80,718.88,1015.08,721.17,712.10,1117.55,786.63,1347.36,1073.52,1154.52,1002.61,1035.36,990.37,799.09
2010,903.20,609.91,910.42,535.92,1073.19,733.30,1421.36,605.07,1129.59,678.37,1015.03,1284.92,868.70,882.33,1070.34,1083.94,557.47,868.70,930.96,793.46,733.57,918.10,1045.46,642.61,1358.38,907.75,1092.98,860.86,849.21,842.89,706.09
2011,1027.95,562.36,1183.19,614.09,1245.69,783.05,1569.81,636.74,1078.69,907.36,1275.00,1331.70,1133.50,1154.10,1320.85,1258.61,640.06,1133.50,1214.89,895.02,954.37,1201.90,1066.27,840.79,1349.39,1082.49,1080.96,1122.01,1063.55,859.67,681.94
2012,827.48,626.32,721.74,543.84,878.40,764.10,1116.66,589.00,1162.25,701.80,983.13,920.22,804.30,754.71,892.40,974.31,579.51,804.30,758.81,745.27,700.93,749.40,848.66,683.30,1125.83,850.09,984.51,840.33,844.03,717.19,674.20
2013,995.19,723.66,923.74,569.79,1180.14,873.70,1490.57,687.27,1197.37,753.38,1096.44,1297.57,1015.60,974.60,1058.35,1232.13,631.82,1015.60,996.91,964.48,815.06,981.90,1124.20,707.07,1331.91,1093.14,1174.85,981.22,963.57,991.41,815.97
2014,969.24,635.83,1056.36,506.88,1121.07,883.64,1533.08,671.27,1051.61,816.77,1154.94,1258.66,1069.90,1061.33,1218.53,1225.13,578.13,1069.90,1107.36,838.27,939.06,1094.20,1017.38,708.89,1208.21,985.91,1046.02,1044.15,990.74,864.92,738.81
2015,1003.06,798.77,1064.28,645.03,1160.99,1096.69,1415.97,818.10,1223.55,805.96,1149.91,1315.31,1171.80,1164.60,1210.68,976.85,650.31,1171.80,1171.07,911.40,1069.16,1165.10,1084.28,763.21,1373.91,1045.75,1192.99,818.04,991.27,922.68,801.57
2016,1128.39,838.34,1097.98,714.18,1280.97,1020.03,1726.45,827.21,1324.03,855.38,1315.72,1536.33,979.10,1040.02,1315.52,1248.62,746.52,979.10,1111.48,1096.70,934.51,1102.60,1252.31,872.17,1436.89,1199.05,1334.27,1027.77,975.87,1100.54,936.00
2017,991.70,648.57,1098.62,521.71,1031.44,1029.63,1672.66,677.16,1123.19,821.49,1290.00,1478.08,1375.10,1305.68,1260.30,1456.92,512.01,1375.10,1278.80,675.76,1137.64,1260.70,900.62,779.36,1162.75,865.27,1001.47,1191.47,1001.93,716.42,665.30
2018,1087.72,857.56,1025.94,794.37,1153.30,1013.89,1542.64,838.40,1222.02,901.78,1384.72,1374.93,1010.10,1004.31,1270.75,1320.36,761.21,1010.10,1045.66,988.62,925.21,1035.10,1038.19,973.76,1213.48,1081.65,1094.68,1119.24,1014.34,936.47,878.19
2019,1206.84,1008.01,1644.76,745.28,1152.77,1525.41,1789.32,1089.14,1604.28,890.10,1592.69,1473.61,1945.60,1921.60,1765.70,1424.02,698.66,1945.60,1886.79,946.32,1751.75,1880.60,1016.61,932.06,1316.31,1066.74,1179.51,1194.66,1011.83,887.30,919.03
2020,1293.22,868.86,1648.98,1027.40,1308.79,1167.34,1855.19,1073.71,1318.45,987.30,1842.29,1229.66,1547.30,1655.56,1896.92,1445.01,924.44,1547.30,1755.65,1162.23,1391.25,1742.20,1270.27,1188.51,1426.48,1194.20,1294.41,1313.73,1043.86,1105.94,956.58
