Variable:,pr
,"Tanzania, United Republic of",Arusha,Dar-es-salaam,Dodoma,Kigoma,Kilimanjaro,Lindi,Manyara,Mara,Mbeya,Morogoro,Mtwara,"Kaskazini Pemba","Kaskazini Unguja",Pwani,Ruvuma,Singida,"Kusini Pemba","Kusini Unguja",Tabora,Tanga,"Mjini Magharibi",Geita,Iringa,Kagera,Katavi,Mwanza,Njombe,Rukwa,Shinyanga,Simiyu
1921,890.30,423.61,924.05,514.87,1044.99,619.24,1413.92,517.17,791.53,808.58,1214.82,1228.31,921.00,924.34,1022.15,1276.23,557.62,921.00,988.46,773.48,737.21,974.80,872.41,837.59,949.14,909.37,859.15,1069.07,895.11,742.20,566.25
1922,914.57,706.30,837.15,506.88,859.21,1179.50,1242.04,707.85,980.89,837.07,1134.00,1084.42,1175.50,1095.66,958.38,1286.67,548.59,1175.50,1064.63,786.48,1043.17,1049.60,891.68,738.04,1106.71,881.28,927.62,1146.38,898.01,795.07,688.62
1923,1095.77,839.35,796.56,707.06,1301.30,1011.97,1493.22,852.58,1191.16,877.09,1212.03,1307.23,994.10,921.40,1002.07,1342.69,804.74,994.10,921.96,1158.51,936.96,906.30,1261.63,858.87,1317.70,1197.70,1235.01,1122.30,973.70,1126.98,893.70
1924,795.06,614.69,774.26,447.14,888.72,948.23,987.39,627.82,824.38,819.45,1042.24,739.73,855.60,810.16,1014.53,909.76,431.74,855.60,842.37,619.66,836.52,833.90,831.48,714.44,1074.17,789.67,870.74,1028.30,791.18,662.44,593.04
1925,1073.65,690.89,1025.90,656.01,1235.78,951.88,1605.51,715.40,1152.70,837.55,1296.15,1391.35,1170.30,1177.97,1228.26,1442.34,682.42,1170.30,1203.46,992.34,1044.45,1195.90,1098.88,800.40,1240.73,1154.75,1173.72,1083.22,1090.28,1001.41,855.17
1926,942.23,691.13,898.77,596.03,1133.66,936.04,1165.85,742.13,1151.69,723.48,1058.04,884.06,1022.10,959.96,1014.80,1083.27,670.35,1022.10,972.48,958.80,1000.02,962.20,1074.37,671.37,1291.94,1018.48,1165.76,916.11,912.58,949.74,777.94
1927,982.86,643.54,1095.77,624.87,1089.91,1005.37,1376.39,707.64,840.37,921.81,1245.52,1122.90,1213.60,1246.65,1246.41,1209.29,660.95,1213.60,1239.19,858.17,1072.11,1225.40,928.26,835.28,1138.66,1068.44,937.38,1106.81,1087.15,776.30,670.95
1928,929.88,677.74,942.99,484.69,899.26,1060.43,1319.06,732.85,935.85,831.51,1079.89,1163.30,1153.70,1079.12,1090.57,1263.99,571.20,1153.70,1086.28,844.12,1121.47,1071.40,897.58,662.40,1104.45,963.86,936.12,1118.18,970.74,804.96,698.54
1929,861.89,513.37,863.02,457.53,973.83,861.75,1183.74,570.27,900.36,790.44,1044.39,995.90,1089.00,964.76,971.75,1212.19,488.97,1089.00,984.02,712.46,897.26,970.90,948.16,705.06,1214.28,845.99,1017.48,1042.75,875.70,752.55,627.67
1930,1173.73,937.40,1188.89,788.91,1240.23,1273.74,1924.64,914.07,1118.97,880.02,1631.38,1312.45,1193.30,1148.95,1516.13,1284.65,736.07,1193.30,1220.08,1038.64,1144.68,1201.40,1242.00,1014.82,1410.42,1091.17,1185.68,1137.88,955.43,1042.77,854.42
1931,1076.49,766.86,1138.39,657.05,1124.41,1124.35,1574.90,853.73,986.49,959.97,1385.32,1264.74,1334.80,1323.80,1349.44,1449.51,691.39,1334.80,1322.00,901.13,1227.49,1304.30,1004.49,878.57,1239.15,1028.96,1036.73,1318.24,999.30,854.22,729.42
1932,1015.37,709.27,1070.67,604.34,1153.70,1077.71,1573.83,776.45,1007.25,809.16,1360.90,1239.73,1158.50,1124.83,1320.19,1240.88,572.23,1158.50,1172.16,838.51,1052.60,1159.60,983.99,801.29,1153.29,1053.99,1029.63,1089.92,1028.81,851.51,733.16
1933,923.63,531.65,862.43,580.25,1000.17,817.99,1324.86,617.73,864.39,864.13,1139.49,1171.83,1090.50,963.00,974.46,1286.55,602.59,1090.50,993.79,801.41,921.84,979.60,940.39,763.53,1120.40,972.21,963.63,1103.29,996.80,812.32,630.83
1934,983.30,551.67,1096.83,554.24,1011.04,855.76,1690.38,626.02,843.41,849.34,1275.56,1415.04,1193.70,1135.64,1263.15,1470.60,583.13,1193.70,1158.36,813.23,987.37,1141.20,935.55,807.23,1081.08,952.78,918.27,1163.85,938.19,753.23,587.38
1935,1020.54,767.31,1134.68,605.98,1041.14,1108.15,1522.53,821.99,1005.27,856.79,1397.01,1179.71,1277.30,1232.03,1354.50,1305.29,594.92,1277.30,1249.72,792.10,1256.19,1234.10,949.79,860.41,1212.45,933.32,1017.33,1093.26,958.76,824.64,750.04
1936,1212.08,897.95,1278.35,775.75,1174.33,1325.41,1865.21,990.60,1204.81,977.24,1631.88,1466.74,1431.80,1388.40,1657.52,1447.41,829.86,1431.80,1446.33,1074.04,1360.31,1425.00,1131.39,985.08,1361.95,1113.13,1199.53,1167.54,1102.84,1009.85,867.53
1937,1093.96,944.92,1080.46,666.38,1329.29,1361.50,1517.81,943.01,1199.87,731.22,1312.20,1229.53,1298.40,1180.41,1368.24,1150.49,728.82,1298.40,1194.22,1082.44,1184.98,1181.90,1230.65,727.26,1403.83,1129.17,1248.46,846.94,1000.17,1084.40,920.48
1938,893.70,716.02,1142.63,584.20,966.10,1153.49,1342.60,789.48,879.41,683.15,1110.80,1030.67,1344.60,1291.48,1299.25,908.23,608.49,1344.60,1279.19,779.22,1180.32,1266.00,881.86,681.73,1105.71,881.34,909.62,789.75,793.91,704.71,599.36
1939,908.93,633.43,1069.78,544.16,1089.46,1018.92,1349.87,696.55,827.10,686.86,1179.99,1077.97,1126.10,1103.57,1255.74,1105.90,557.22,1126.10,1147.71,841.50,1044.67,1132.70,912.80,679.68,1045.14,968.95,856.52,844.82,877.80,763.17,598.30
1940,1071.77,795.47,1177.49,724.43,1103.74,1119.03,1644.09,869.50,1017.64,869.14,1449.44,1286.22,1350.50,1322.95,1468.07,1291.74,718.88,1350.50,1351.27,873.85,1173.39,1338.30,1037.23,938.77,1256.46,949.41,1057.74,1080.46,1002.18,870.77,732.41
1941,1124.07,780.09,1023.01,807.39,1234.05,1000.15,1503.31,880.30,1154.44,950.67,1364.43,1187.88,1175.90,1094.20,1220.00,1285.30,888.48,1175.90,1100.48,1086.24,1138.40,1086.40,1229.35,953.46,1385.11,1118.94,1220.98,1114.91,1106.50,1116.24,946.00
1942,1064.04,875.40,1194.72,661.20,1124.10,1198.66,1546.29,920.12,1035.42,850.01,1264.71,1229.28,1215.00,1193.98,1412.98,1211.23,729.49,1215.00,1237.66,1022.13,1152.28,1225.10,1062.39,788.52,1221.14,1084.25,1046.31,1005.76,1085.21,1001.78,803.81
1943,845.51,513.05,1024.39,477.23,994.46,808.36,1302.89,579.88,847.91,704.39,1072.41,977.58,1045.40,1056.28,1202.61,957.97,493.50,1045.40,1095.20,796.27,903.25,1080.10,866.69,630.05,1004.44,919.12,876.92,834.18,866.64,748.30,583.58
1944,1104.82,802.76,1166.82,773.91,1130.61,1180.10,1514.01,987.64,1102.51,879.40,1499.78,1082.16,1286.90,1276.87,1425.91,1386.47,704.23,1286.90,1299.96,927.52,1251.45,1289.40,1086.21,911.62,1304.22,1073.37,1146.90,1129.60,1098.25,955.70,782.48
1945,1040.48,525.43,1028.76,626.46,1084.26,816.12,1773.78,605.92,917.50,850.52,1500.84,1368.22,1152.10,1081.25,1326.92,1582.86,579.88,1152.10,1109.76,876.60,1017.40,1097.60,942.08,875.42,1187.70,1018.27,1002.51,1175.01,916.71,828.94,589.08
1946,860.23,577.60,882.39,424.28,1211.96,875.23,1048.57,620.03,856.57,727.75,963.24,903.82,1077.30,1036.83,931.34,1084.67,478.95,1077.30,1032.63,868.32,996.09,1020.40,982.98,601.01,1106.08,1049.53,907.00,985.97,919.65,824.53,597.74
1947,1154.33,850.26,1283.50,807.39,1160.70,1253.58,1705.60,938.46,1115.14,850.52,1553.88,1338.41,1220.70,1308.10,1545.67,1484.99,775.33,1220.70,1346.51,993.70,1225.86,1332.50,1119.81,948.72,1403.61,1082.57,1183.61,1099.80,1052.58,973.82,794.20
