,Indicator,Unit,Subgroup,Area,Area ID,Time Period,Source,Data Value,Footnotes
41320,Planted area,Ha,Total,Kilimanjaro,TZA001003,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,469810,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
41321,Planted area,Ha,Total,Tanga,TZA001004,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,1230360,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
41322,Planted area,Ha,Total,Morogoro,TZA001005,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,521898,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
41323,Planted area,Ha,Total,Pwani,TZA001006,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,509849,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42890,Planted area,Ha,Total,Lindi,TZA001008,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,824361,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42891,Planted area,Ha,Total,Mtwara,TZA001009,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,683379,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42892,Planted area,Ha,Total,Ruvuma,TZA001010,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,357819,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42893,Planted area,Ha,Total,Iringa,TZA001011,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,366572,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42894,Planted area,Ha,Total,Mbeya,TZA001012,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,828307,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42895,Planted area,Ha,Total,Singida,TZA001013,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,793718,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42896,Planted area,Ha,Total,Tabora,TZA001014,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,1591038,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42897,Planted area,Ha,Total,Rukwa,TZA001015,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,396950,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42898,Planted area,Ha,Total,Kigoma,TZA001016,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,838216,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42899,Planted area,Ha,Total,Shinyanga,TZA001017,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,1065526,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42900,Planted area,Ha,Total,Kagera,TZA001018,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,585655,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42901,Planted area,Ha,Total,Mwanza,TZA001019,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,833188,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42902,Planted area,Ha,Total,Mara,TZA001020,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,612797,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42903,Planted area,Ha,Total,Manyara,TZA001021,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,773224,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42904,Planted area,Ha,Total,Njombe,TZA001022,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,192820,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42905,Planted area,Ha,Total,Katavi,TZA001023,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,298859,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42906,Planted area,Ha,Total,Simiyu,TZA001024,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,887667,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42907,Planted area,Ha,Total,Geita,TZA001025,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,969064,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42909,Planted area,Ha,Total,Kaskazini Unguja,TZA002051,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,40905,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42910,Planted area,Ha,Total,Kusini Unguja,TZA002052,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,44261,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42911,Planted area,Ha,Total,Mjini Magharibi,TZA002053,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,15864,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42912,Planted area,Ha,Total,Kaskazini Pemba,TZA002054,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,37055,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42913,Planted area,Ha,Total,Kusini Pemba,TZA002055,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,46869,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42916,Planted area,Ha,Short rainy season,Dodoma,TZA001001,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,3560,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42917,Planted area,Ha,Short rainy season,Arusha,TZA001002,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,45309,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42918,Planted area,Ha,Short rainy season,Kilimanjaro,TZA001003,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,214285,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42919,Planted area,Ha,Short rainy season,Tanga,TZA001004,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,521462,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42920,Planted area,Ha,Short rainy season,Morogoro,TZA001005,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,85133,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42921,Planted area,Ha,Short rainy season,Pwani,TZA001006,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,304942,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42923,Planted area,Ha,Short rainy season,Lindi,TZA001008,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,51257,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42924,Planted area,Ha,Short rainy season,Mtwara,TZA001009,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,19778,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42925,Planted area,Ha,Short rainy season,Ruvuma,TZA001010,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,5235,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42926,Planted area,Ha,Short rainy season,Iringa,TZA001011,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,69603,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42927,Planted area,Ha,Short rainy season,Mbeya,TZA001012,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,11686,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42928,Planted area,Ha,Short rainy season,Singida,TZA001013,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,5146,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42929,Planted area,Ha,Short rainy season,Tabora,TZA001014,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,807694,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42930,Planted area,Ha,Short rainy season,Rukwa,TZA001015,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,1856,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42931,Planted area,Ha,Short rainy season,Kigoma,TZA001016,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,646181,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42932,Planted area,Ha,Short rainy season,Shinyanga,TZA001017,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,75185,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42933,Planted area,Ha,Short rainy season,Kagera,TZA001018,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,400093,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42934,Planted area,Ha,Short rainy season,Mwanza,TZA001019,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,658906,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42935,Planted area,Ha,Short rainy season,Mara,TZA001020,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,378536,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42936,Planted area,Ha,Short rainy season,Manyara,TZA001021,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,15407,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42937,Planted area,Ha,Short rainy season,Njombe,TZA001022,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,24831,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42938,Planted area,Ha,Short rainy season,Katavi,TZA001023,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,0,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42939,Planted area,Ha,Short rainy season,Simiyu,TZA001024,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,551647,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42940,Planted area,Ha,Short rainy season,Geita,TZA001025,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,689580,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42942,Planted area,Ha,Short rainy season,Kaskazini Unguja,TZA002051,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,22343,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42943,Planted area,Ha,Short rainy season,Kusini Unguja,TZA002052,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,25512,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42944,Planted area,Ha,Short rainy season,Mjini Magharibi,TZA002053,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,9536,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42945,Planted area,Ha,Short rainy season,Kaskazini Pemba,TZA002054,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,15745,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42946,Planted area,Ha,Short rainy season,Kusini Pemba,TZA002055,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,21334,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42949,Planted area,Ha,Long rainy season,Dodoma,TZA001001,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,1160914,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42950,Planted area,Ha,Long rainy season,Arusha,TZA001002,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,225384,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42951,Planted area,Ha,Long rainy season,Kilimanjaro,TZA001003,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,255525,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42952,Planted area,Ha,Long rainy season,Tanga,TZA001004,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,708898,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42953,Planted area,Ha,Long rainy season,Morogoro,TZA001005,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,436765,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42954,Planted area,Ha,Long rainy season,Pwani,TZA001006,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,204907,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42956,Planted area,Ha,Long rainy season,Lindi,TZA001008,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,773104,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42957,Planted area,Ha,Long rainy season,Mtwara,TZA001009,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,663601,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42958,Planted area,Ha,Long rainy season,Ruvuma,TZA001010,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,352584,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42959,Planted area,Ha,Long rainy season,Iringa,TZA001011,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,296969,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42960,Planted area,Ha,Long rainy season,Mbeya,TZA001012,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,816621,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42961,Planted area,Ha,Long rainy season,Singida,TZA001013,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,788572,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42962,Planted area,Ha,Long rainy season,Tabora,TZA001014,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,783344,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42963,Planted area,Ha,Long rainy season,Rukwa,TZA001015,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,395094,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42964,Planted area,Ha,Long rainy season,Kigoma,TZA001016,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,192035,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42965,Planted area,Ha,Long rainy season,Shinyanga,TZA001017,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,990341,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42966,Planted area,Ha,Long rainy season,Kagera,TZA001018,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,185562,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42967,Planted area,Ha,Long rainy season,Mwanza,TZA001019,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,174282,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42968,Planted area,Ha,Long rainy season,Mara,TZA001020,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,234261,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42969,Planted area,Ha,Long rainy season,Manyara,TZA001021,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,757817,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42970,Planted area,Ha,Long rainy season,Njombe,TZA001022,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,167989,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42971,Planted area,Ha,Long rainy season,Katavi,TZA001023,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,298859,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42972,Planted area,Ha,Long rainy season,Simiyu,TZA001024,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,336020,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42973,Planted area,Ha,Long rainy season,Geita,TZA001025,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,279484,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42975,Planted area,Ha,Long rainy season,Kaskazini Unguja,TZA002051,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,18562,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42976,Planted area,Ha,Long rainy season,Kusini Unguja,TZA002052,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,18749,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42977,Planted area,Ha,Long rainy season,Mjini Magharibi,TZA002053,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,6328,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42978,Planted area,Ha,Long rainy season,Kaskazini Pemba,TZA002054,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,21310,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42979,Planted area,Ha,Long rainy season,Kusini Pemba,TZA002055,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,25535,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42982,Planted area in a crops,Ha,Maize Short rainy season,Dodoma,TZA001001,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,0,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42983,Planted area in a crops,Ha,Maize Short rainy season,Arusha,TZA001002,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,19524,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42984,Planted area in a crops,Ha,Maize Short rainy season,Kilimanjaro,TZA001003,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,62626,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42985,Planted area in a crops,Ha,Maize Short rainy season,Tanga,TZA001004,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,212327,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42986,Planted area in a crops,Ha,Maize Short rainy season,Morogoro,TZA001005,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,42904,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42987,Planted area in a crops,Ha,Maize Short rainy season,Pwani,TZA001006,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,68960,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42989,Planted area in a crops,Ha,Maize Short rainy season,Lindi,TZA001008,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,6399,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42990,Planted area in a crops,Ha,Maize Short rainy season,Mtwara,TZA001009,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,3200,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43295,Planted area in a crops,Ha,Cotton Short rainy season,Rukwa,TZA001015,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,0,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43296,Planted area in a crops,Ha,Cotton Short rainy season,Kigoma,TZA001016,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,0,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43297,Planted area in a crops,Ha,Cotton Short rainy season,Shinyanga,TZA001017,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,2124,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43298,Planted area in a crops,Ha,Cotton Short rainy season,Kagera,TZA001018,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,0,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43299,Planted area in a crops,Ha,Cotton Short rainy season,Mwanza,TZA001019,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,27366,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43300,Planted area in a crops,Ha,Cotton Short rainy season,Mara,TZA001020,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,14883,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43301,Planted area in a crops,Ha,Cotton Short rainy season,Manyara,TZA001021,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,0,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43302,Planted area in a crops,Ha,Cotton Short rainy season,Njombe,TZA001022,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,0,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43303,Planted area in a crops,Ha,Cotton Short rainy season,Katavi,TZA001023,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,0,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43304,Planted area in a crops,Ha,Cotton Short rainy season,Simiyu,TZA001024,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,10552,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43305,Planted area in a crops,Ha,Cotton Short rainy season,Geita,TZA001025,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,30247,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43307,Quantity harvested in crops,Tonne,Sweet Potato Short rainy season,Lindi,TZA001008,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,0,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43308,Quantity harvested in crops,Tonne,Sweet Potato Short rainy season,Mtwara,TZA001009,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,0,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43309,Quantity harvested in crops,Tonne,Sweet Potato Short rainy season,Ruvuma,TZA001010,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,0,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43310,Quantity harvested in crops,Tonne,Sweet Potato Short rainy season,Iringa,TZA001011,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,56,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43311,Quantity harvested in crops,Tonne,Sweet Potato Short rainy season,Mbeya,TZA001012,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,0,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43312,Quantity harvested in crops,Tonne,Sweet Potato Short rainy season,Singida,TZA001013,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,0,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43313,Quantity harvested in crops,Tonne,Sweet Potato Short rainy season,Tabora,TZA001014,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,33787,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43314,Quantity harvested in crops,Tonne,Sweet Potato Short rainy season,Kaskazini Unguja,TZA002051,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,2107,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43315,Quantity harvested in crops,Tonne,Sweet Potato Short rainy season,Kusini Unguja,TZA002052,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,363,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43316,Quantity harvested in crops,Tonne,Sweet Potato Short rainy season,Mjini Magharibi,TZA002053,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,427,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43317,Quantity harvested in crops,Tonne,Sweet Potato Short rainy season,Kaskazini Pemba,TZA002054,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,902,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43318,Quantity harvested in crops,Tonne,Green Gram Short rainy season,Kigoma,TZA001016,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,0,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43319,Quantity harvested in crops,Tonne,Green Gram Short rainy season,Shinyanga,TZA001017,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,0,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43320,Quantity harvested in crops,Tonne,Green Gram Short rainy season,Kagera,TZA001018,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,0,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
43321,Quantity harvested in crops,Tonne,Green Gram Short rainy season,Mwanza,TZA001019,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,22233,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
